qid,qkym,kym
http://www.wikidata.org/entity/Q112977858,5180,https://knowyourmeme.com/memes/yao-ming-face-bitch-please
http://www.wikidata.org/entity/Q113126434,25124,https://knowyourmeme.com/memes/soy-boy-face-soyjak
http://www.wikidata.org/entity/Q54,13,https://knowyourmeme.com/memes/all-your-base-are-belong-to-us
http://www.wikidata.org/entity/Q56,18,https://knowyourmeme.com/memes/lolcats
http://www.wikidata.org/entity/Q149,5608,https://knowyourmeme.com/memes/nyan-cat
http://www.wikidata.org/entity/Q62141,554,https://knowyourmeme.com/memes/facepalm
http://www.wikidata.org/entity/Q88870,1717,https://knowyourmeme.com/memes/polandball
http://www.wikidata.org/entity/Q139274,369,https://knowyourmeme.com/memes/december-21st-2012
http://www.wikidata.org/entity/Q154619,430,https://knowyourmeme.com/memes/godwins-law
http://www.wikidata.org/entity/Q211531,1497,https://knowyourmeme.com/memes/the-invisible-pink-unicorn
http://www.wikidata.org/entity/Q217668,5922,https://knowyourmeme.com/memes/planking
http://www.wikidata.org/entity/Q275167,17352,https://knowyourmeme.com/memes/subcultures/bee-movie
http://www.wikidata.org/entity/Q623852,3553,https://knowyourmeme.com/memes/%E5%9B%A7
http://www.wikidata.org/entity/Q695677,7,https://knowyourmeme.com/memes/7
http://www.wikidata.org/entity/Q703899,3901,https://knowyourmeme.com/memes/the-bielefeld-conspiracy
http://www.wikidata.org/entity/Q799007,381,https://knowyourmeme.com/memes/badger-badger-badger
http://www.wikidata.org/entity/Q899627,85,https://knowyourmeme.com/memes/mcdonalds-ran-ran-ru-commercials
http://www.wikidata.org/entity/Q899641,39594,https://knowyourmeme.com/memes/i-love-lean
http://www.wikidata.org/entity/Q927144,5,https://knowyourmeme.com/memes/pedobear
http://www.wikidata.org/entity/Q937633,244,https://knowyourmeme.com/memes/chuck-norris-facts
http://www.wikidata.org/entity/Q937781,543,https://knowyourmeme.com/memes/goatse
http://www.wikidata.org/entity/Q985802,631,https://knowyourmeme.com/memes/will-it-blend
http://www.wikidata.org/entity/Q1050827,15111,https://knowyourmeme.com/memes/waluigi
http://www.wikidata.org/entity/Q1071902,3419,https://knowyourmeme.com/memes/shock-sites
http://www.wikidata.org/entity/Q1083090,47,https://knowyourmeme.com/memes/leekspin-loituma-girl
http://www.wikidata.org/entity/Q1263513,2681,https://knowyourmeme.com/memes/duck-face
http://www.wikidata.org/entity/Q1275790,11625,https://knowyourmeme.com/memes/on-the-internet-nobody-knows-youre-a-dog
http://www.wikidata.org/entity/Q1572966,5875,https://knowyourmeme.com/memes/subcultures/rage-comics
http://www.wikidata.org/entity/Q1602458,166,https://knowyourmeme.com/memes/keyboard-cat
http://www.wikidata.org/entity/Q1634981,3664,https://knowyourmeme.com/memes/jesusland
http://www.wikidata.org/entity/Q2217720,23,https://knowyourmeme.com/memes/roflcopter
http://www.wikidata.org/entity/Q2328161,15,https://knowyourmeme.com/memes/o-rly
http://www.wikidata.org/entity/Q2396344,70,https://knowyourmeme.com/memes/numa-numa
http://www.wikidata.org/entity/Q3189077,615,https://knowyourmeme.com/memes/banhammer
http://www.wikidata.org/entity/Q3271851,3095,https://knowyourmeme.com/memes/how-does-one-patch-kde2-under-freebsd
http://www.wikidata.org/entity/Q3312333,590,https://knowyourmeme.com/memes/owned-pwned
http://www.wikidata.org/entity/Q3476798,11717,https://knowyourmeme.com/memes/cultures/seapunk
http://www.wikidata.org/entity/Q3544030,1865,https://knowyourmeme.com/memes/citation-needed
http://www.wikidata.org/entity/Q4139004,1894,https://knowyourmeme.com/memes/events/doppelganger-week
http://www.wikidata.org/entity/Q4376519,1700,https://knowyourmeme.com/memes/preved-medved-%D0%BF%D1%80%D0%B5%D0%B2%D0%B5%D0%B4-%D0%BC%D0%B5%D0%B4%D0%B2%D0%B5%D0%B4
http://www.wikidata.org/entity/Q4738985,33097,https://knowyourmeme.com/memes/amabie
http://www.wikidata.org/entity/Q4765220,2168,https://knowyourmeme.com/memes/animutation
http://www.wikidata.org/entity/Q5053996,990,https://knowyourmeme.com/memes/kitler
http://www.wikidata.org/entity/Q5066149,9466,https://knowyourmeme.com/memes/chad
http://www.wikidata.org/entity/Q5182417,667,https://knowyourmeme.com/memes/crasher-squirrel
http://www.wikidata.org/entity/Q5230628,68,https://knowyourmeme.com/memes/david-after-dentist
http://www.wikidata.org/entity/Q5305757,19,https://knowyourmeme.com/memes/dramatic-chipmunk
http://www.wikidata.org/entity/Q5319409,3358,https://knowyourmeme.com/memes/dysfunctional-family-circus
http://www.wikidata.org/entity/Q5351290,6218,https://knowyourmeme.com/memes/el-fua
http://www.wikidata.org/entity/Q5362123,6236,https://knowyourmeme.com/memes/first-world-problems
http://www.wikidata.org/entity/Q5365273,4424,https://knowyourmeme.com/memes/hinomoto-oniko-%E6%97%A5%E6%9C%AC-%E9%AC%BC%E5%AD%90
http://www.wikidata.org/entity/Q5583639,741,https://knowyourmeme.com/memes/goodtimes-virus
http://www.wikidata.org/entity/Q5689085,1532,https://knowyourmeme.com/memes/headon
http://www.wikidata.org/entity/Q5905837,6616,https://knowyourmeme.com/memes/horsemaning
http://www.wikidata.org/entity/Q5980097,9696,https://knowyourmeme.com/memes/i-am-lonely-will-anyone-speak-to-me
http://www.wikidata.org/entity/Q6007476,406,https://knowyourmeme.com/memes/impossible-is-nothing
http://www.wikidata.org/entity/Q6109370,21493,https://knowyourmeme.com/memes/stefan-karl-stefansson-robbie-rotten
http://www.wikidata.org/entity/Q6649987,136,https://knowyourmeme.com/memes/little-fatty
http://www.wikidata.org/entity/Q6739825,2254,https://knowyourmeme.com/memes/makmende
http://www.wikidata.org/entity/Q7113821,10496,https://knowyourmeme.com/memes/overly-attached-girlfriend
http://www.wikidata.org/entity/Q7187719,1565,https://knowyourmeme.com/memes/photobombing
http://www.wikidata.org/entity/Q7197902,265,https://knowyourmeme.com/memes/pirates-vs-ninjas
http://www.wikidata.org/entity/Q7405970,12582,https://knowyourmeme.com/memes/salt-and-ice-challenge
http://www.wikidata.org/entity/Q7714263,11365,https://knowyourmeme.com/memes/grumpy-cat
http://www.wikidata.org/entity/Q7720628,176,https://knowyourmeme.com/memes/the-burger-king
http://www.wikidata.org/entity/Q7797922,281,https://knowyourmeme.com/memes/three-wolf-moon
http://www.wikidata.org/entity/Q7804964,1901,https://knowyourmeme.com/memes/the-time-cube
http://www.wikidata.org/entity/Q7923090,3249,https://knowyourmeme.com/memes/very-erotic-very-violent-%E5%BE%88%E9%BB%84%E5%BE%88%E6%9A%B4%E5%8A%9B
http://www.wikidata.org/entity/Q7923092,3252,https://knowyourmeme.com/memes/very-good-very-powerful-%E5%BE%88%E5%A5%BD%E5%BE%88%E5%BC%BA%E5%A4%A7
http://www.wikidata.org/entity/Q9384989,7249,https://knowyourmeme.com/memes/five-stripe-boy
http://www.wikidata.org/entity/Q12265058,11944,https://knowyourmeme.com/memes/ola-k-ase
http://www.wikidata.org/entity/Q12339810,91,https://knowyourmeme.com/memes/trollface
http://www.wikidata.org/entity/Q13515562,271,https://knowyourmeme.com/memes/rule-34
http://www.wikidata.org/entity/Q13639319,867,https://knowyourmeme.com/memes/jia-jun-peng-your-mother-wants-you-to-come-home-for-dinner
http://www.wikidata.org/entity/Q14701411,1639,https://knowyourmeme.com/memes/grammar-nazi
http://www.wikidata.org/entity/Q15056165,3678,https://knowyourmeme.com/memes/horse-head-mask
http://www.wikidata.org/entity/Q15613810,13564,https://knowyourmeme.com/memes/doge
http://www.wikidata.org/entity/Q16710155,12008,https://knowyourmeme.com/memes/stoned-fox-%D1%83%D0%BF%D0%BE%D1%80%D0%BE%D1%82%D0%B0%D1%8F-%D0%BB%D0%B8%D1%81%D0%B0
http://www.wikidata.org/entity/Q16828887,2658,https://knowyourmeme.com/memes/captain-obvious
http://www.wikidata.org/entity/Q16927904,293,https://knowyourmeme.com/memes/youtube-poop-ytp
http://www.wikidata.org/entity/Q17042352,1368,https://knowyourmeme.com/memes/i-am-error
http://www.wikidata.org/entity/Q17042382,240,https://knowyourmeme.com/memes/its-dangerous-to-go-alone-take-this
http://www.wikidata.org/entity/Q17515210,24600,https://knowyourmeme.com/memes/why-didnt-you-invest-in-eastern-poland
http://www.wikidata.org/entity/Q17521923,16196,https://knowyourmeme.com/memes/ice-bucket-challenge
http://www.wikidata.org/entity/Q18154904,12443,https://knowyourmeme.com/memes/the-glorious-pc-gaming-master-race
http://www.wikidata.org/entity/Q18738659,9515,https://knowyourmeme.com/memes/bad-luck-brian
http://www.wikidata.org/entity/Q19362881,17407,https://knowyourmeme.com/memes/the-dress-what-color-is-this-dress
http://www.wikidata.org/entity/Q19879826,12403,https://knowyourmeme.com/memes/florida-man
